;Year;Month;Day;Name;Location;Country;Latitude;Longitude;Elevation;Type;VEI;Deaths
1;-1750;;;Veniaminof;Alaska Peninsula;United States;56.17;-159.38;2507;Stratovolcano;6;
2;-1645;;;Aniakchak;Alaska Peninsula;United States;56.88;-158.17;1341;Caldera;6;
3;-1610;;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;7;
4;-1550;;;Redoubt;Alaska-SW;United States;60.48;-152.75;3108;Stratovolcano;;
5;-1460;;;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;6;
6;-1370;;;Pago;New Britain-SW Pac;Papua New Guinea;-5.58;150.52;742;Caldera;6;
7;-1050;;;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;6;
8;-1010;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;5;
9;-455;;;Cotopaxi;Ecuador;Ecuador;-.677;-78.436;5911;Stratovolcano;4;
10;-250;;;Raoul Island;Kermadec Is;New Zealand;-29.27;-177.92;516;Stratovolcano;6;
11;-197;;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;3;
12;-150;;;St. Andrew Strait;Admiralty Is-SW Paci;Papua New Guinea;-2.38;147.35;270;Complex volcano;;
13;-141;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;;40
14;-100;;;Okmok;Aleutian Is;United States;53.42;-168.13;1073;Shield volcano;6;
15;-50;;;Apoyeque;Nicaragua;Nicaragua;12.242;-86.342;518;Pyroclastic shield;6;
16;46;;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;3;
17;50;;;Ambrym;Vanuatu-SW Pacific;Vanuatu;-16.25;168.12;1334;Pyroclastic shield;6;
18;60;;;Bona-Churchill;Alaska-E;United States;61.38;-141.75;5005;Stratovolcano;6;
19;79;8;25;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;5;2100
"20;200;;;""Arhab; Harra of"";Arabia-S;Yemen;15.63;44.08;3100;Volcanic field;;"
21;230;;;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;6;
22;240;;;Ksudach;Kamchatka;Russia;51.8;157.53;1079;Stratovolcano;6;
23;350;;;Augustine;Alaska-SW;United States;59.37;-153.42;1252;Lava dome;;
24;416;;;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;;
25;450;;;Ilopango;El Salvador;El Salvador;13.672;-89.053;450;Caldera;6;30000
"26;500;;;""Arhab; Harra of"";Arabia-S;Yemen;15.63;44.08;3100;Volcanic field;;"
27;590;;;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;;
"28;640;;;""Uwayrid; Harrat"";Arabia-W;Saudi Arabia;27.08;37.25;1900;Volcanic field;2;"
29;653;;;Dakataua;New Britain-SW Pac;Papua New Guinea;-5.056;150.108;400;Caldera;6;
30;683;;;Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic shield;6;
31;710;;;Pago;New Britain-SW Pac;Papua New Guinea;-5.58;150.52;742;Caldera;6;
32;764;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;4;80
33;766;7;20;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;3;
34;787;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;3;
35;847;;;Bona-Churchill;Alaska-E;United States;61.38;-141.75;5005;Stratovolcano;6;
36;920;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
37;930;;;Ceboruco;Mexico;Mexico;21.125;-104.508;2280;Stratovolcano;6;
38;934;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
39;950;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;;
40;1000;;;Changbaishan;China-E;North Korea;41.98;128.08;2744;Stratovolcano;7;
41;1050;;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;;
42;1104;10;15;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;5;
43;1151;;;Krisuvik;Iceland-SW;Iceland;63.93;-22.1;379;Crater rows;1;
44;1158;1;19;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
45;1169;2;4;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;;
46;1169;2;11;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;;
47;1177;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;3;
48;1206;12;4;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;2;
49;1250;;;Fentale;Africa-NE;Ethiopia;8.975;39.93;2007;Stratovolcano;;
50;1262;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;3;
51;1280;;;Quilotoa;Ecuador;Ecuador;-.85;-78.9;3914;Caldera;6;
52;1300;7;11;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
53;1302;;;Ischia;Italy;Italy;40.73;13.897;789;Complex volcano;;
54;1311;1;18;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
55;1311;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;
56;1329;6;28;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;3;
57;1329;7;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;1;
58;1331;12;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;
59;1334;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;
60;1341;5;19;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;3;
61;1357;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
62;1362;6;5;Oraefajokull;Iceland-SE;Iceland;64;-16.65;2119;Stratovolcano;5;220
