,Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Deaths,
1,-1750,,,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,6,
2,-1645,,,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,6,
3,-1610,,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,7,
4,-1550,,,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,,
5,-1460,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,
6,-1370,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,
7,-1050,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,
8,-1010,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,5,
9,-455,,,Cotopaxi,Ecuador,Ecuador,-.677,-78.436,5911,Stratovolcano,4,
10,-250,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,6,
11,-197,,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3,
12,-150,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,,
13,-141,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,40
14,-100,,,Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,6,
15,-50,,,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,6,
16,46,,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3,
17,50,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6,
18,60,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,
19,79,8,25,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,2100,
